period_id,N,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29
tzolkin,260,0,2,0,1,7,0,5,13,7,28
haab,365,1,2,0,1,2,1,8,4,20,17
calendar_round,18980,0,2,0,3,5,0,8,18,5,14
venus_synodic,584,0,2,4,3,1,12,6,14,9,4
venus_grand_table,37960,0,1,0,6,10,0,16,17,10,28
eclipse_table,11960,0,2,0,4,3,0,9,9,0,12
mars_chaak_candidate,780,0,0,0,3,10,0,15,1,21,26
count_819,819,1,0,4,0,5,0,3,2,14,7
rain_reset_candidate,1820,0,2,0,0,5,0,1,15,3,22
saturn_candidate,378,0,0,3,0,4,1,4,17,10,1
jupiter_candidate,399,1,0,4,0,3,9,8,0,8,22
thirteen_boundary,13,1,1,3,6,2,0,13,13,13,13
eleven_shadow,11,1,2,1,4,0,11,11,11,11,11
gear_17x19,323,1,2,3,1,4,11,0,0,1,4
human_gestation_approx_days,260,0,2,0,1,7,0,5,13,7,28
